Company ID,Contact Name,Role,Connection Strength,Previous HKJC Interaction,Link of HKJC Interaction evidance,Linkedin
118,Yu Jian,"President, Executive Director",Cold,No personal interaction found related to sponsorships or events.,Nil,Nil
118,Zhang Shouwen,"Chief Financial Officer, Executive Director",Cold,No personal interaction found related to sponsorships or events.,Nil,Nil
119,Richard Lancaster,Chief Executive Officer,Hot,Speaker at an international climate change conference supported by the HKJC Charities Trust.,https://corporate.hkjc.com/corporate/english/charities-and-community/news-detail.aspx?newsid=6182,https://hk.linkedin.com/in/richard-lancaster-20b12a32
119,Betty Yuen,"Group Director & Vice Chairman, CLP Power Hong Kong Limited",Warm,"Officiated opening of CLP Power Low-carbon Energy Education Centre, funded by HKJC Charities Trust.",https://corporate.hkjc.com/corporate/english/charities-and-community/news-detail.aspx?newsid=3846,https://hk.linkedin.com/in/betty-yuen-0b1a033b
119,Stamford Tang,Director - Group Communications,Warm,"Attended and officiated launch of HK Green Organisation Certification scheme, supported by HKJC.",https://www.epd.gov.hk/epd/english/news_events/press/pr_20170612.html,https://hk.linkedin.com/in/stamford-tang-52055611
120,Francis Lui Yiu-tung,Deputy Chairman,Hot,Presented awards at HKJC race events and is a prominent racehorse owner.,https://campaigns.hkjc.com/centenary-of-racing/en/gallery/gold-cup-2018.aspx,https://www.linkedin.com/in/francis-lui-yiu-tung-a5b5651a
120,Philip Cheng,"Chief Operating Officer, Macau Resorts & Director, Galaxy Casino Co. Ltd",Cold,No direct personal interaction found.,Nil,https://www.linkedin.com/in/philip-cheng-12349b142
120,Kevin Kelley,"Chief Operating Officer, Macau Operations",Cold,No direct personal interaction found.,Nil,https://www.linkedin.com/in/kevin-kelley-b769622a
121,Victor T K Li,Chairman,Hot,"Steward of The Hong Kong Jockey Club, a significant leadership role.",https://corporate.hkjc.com/corporate/english/about-hkjc/stewards-list.aspx,Nil
121,Kam Hing Lam,Managing Director,Hot,Honorary Voting Member of The Hong Kong Jockey Club.,https://corporate.hkjc.com/corporate/english/news-centre/news/2020-09/news-2020090204646.aspx,Nil
121,Frank John Sixt,Executive Director,Hot,"Horse owner with HKJC, participating in racing events.",https://racing.hkjc.com/racing/information/english/horse/ownerhistory.aspx?ownerid=O023000,https://hk.linkedin.com/in/frank-john-sixt-11333333
123,Martin Lee Ka-shing,Chairman and Managing Director,Hot,"Serves as a Steward of The Hong Kong Jockey Club, actively involved in its governance and high-level decisions.",https://corporate.hkjc.com/corporate/english/about-us/Our_People.aspx,Nil
123,Peter Lee Ka-kit,Chairman and Managing Director,Hot,"Serves as a Steward of The Hong Kong Jockey Club, actively involved in its governance and high-level decisions.",https://corporate.hkjc.com/corporate/english/about-us/Our_People.aspx,Nil
123,Pui-yee Lee,"General Manager, Corporate Communications",Warm,No direct personal interaction found. Role is key for company sponsorships.,Nil,https://hk.linkedin.com/in/pui-yee-lee-192b02196
124,Leaf Hua Li,"Founder, Chairman & CEO",Cold,No,Nil,https://www.linkedin.com/in/leaf-hua-li-6b553610b
124,Robin Xu,"Senior Vice President, Head of International Business (moomoo & Futu Singapore)",Cold,No,Nil,https://www.linkedin.com/in/robin-xu-a511394b/
124,Arthur Chen,Chief Financial Officer,Cold,No,Nil,https://www.linkedin.com/in/arthur-chen-742a0b163/
126,Tim Blackburn,Chief Executive Officer,Warm,"No specific public personal interaction for sponsorship. However, Swire Group Chairman had a high-level interaction with HKJC in 2023.",https://corporate.hkjc.com/corporate/english/community-and-charity/2023-01/news_20230101416.aspx,https://www.linkedin.com/in/tim-blackburn-70b12711/
126,Maia Cheung,Head of Corporate Communications & CSR,Warm,"No specific public personal interaction for sponsorship. However, Swire Group Chairman had a high-level interaction with HKJC in 2023.",https://corporate.hkjc.com/corporate/english/community-and-charity/2023-01/news_20230101416.aspx,https://www.linkedin.com/in/maiacheung/
126,Michelle Low,"Director, Retail",Warm,"No specific public personal interaction for sponsorship. However, Swire Group Chairman had a high-level interaction with HKJC in 2023.",https://corporate.hkjc.com/corporate/english/community-and-charity/2023-01/news_20230101416.aspx,https://www.linkedin.com/in/michelle-low-64303b30/
127,Peter Wong Wai Yee,Managing Director,Hot,He is a Steward of The Hong Kong Jockey Club.,https://corporate.hkjc.com/corporate/english/club/stewards-club.aspx,https://www.linkedin.com/in/peter-wong-wai-yee-b14188164/
127,Joseph Ma Chi Wing,Head of Corporate Affairs,Warm,"Company (Towngas) is a Corporate Patron of HKJC Charities Trust (p.71, Annual Report 2022/23).",https://corporate.hkjc.com/corporate/english/about-us/annual-report/annual-report-2022-2023.aspx,https://hk.linkedin.com/in/joseph-ma-b2861a5b
127,John Ho Wing Sing,"General Manager, Commercial & Industrial Marketing",Warm,"Company (Towngas) is a Corporate Patron of HKJC Charities Trust (p.71, Annual Report 2022/23).",https://corporate.hkjc.com/corporate/english/about-us/annual-report/annual-report-2022-2023.aspx,https://www.linkedin.com/in/john-ho-9a405520/
128,John Witt,Chief Executive,Warm,"Attended Jardine Matheson Charity Race Day at Sha Tin Racecourse, a key social event.",https://hongkongtatler.com/events/jardine-matheson-charity-race-day-2016-private-cocktail-reception,https://sg.linkedin.com/in/john-witt-89a56214
128,Y.K. Pang,Non-Executive Director,Hot,"Serves as a Steward of The Hong Kong Jockey Club, a leadership role within the Club.",https://corporate.hkjc.com/corporate/english/about-hkjc/our-organisation/board-of-stewards.aspx,https://hk.linkedin.com/in/yk-pang-a7455523
128,Ben Keswick,Non-Executive Director,Hot,"Owned racehorses, ""Magic Legend"" and others, that competed in Hong Kong Jockey Club races.",https://www.scmp.com/sport/hong-kong-racing/article/2179929/champions-day-showdown-sees-magic-beat-master,https://hk.linkedin.com/in/ben-keswick-00829828
129,Raymond Kwok,Chairman,Hot,"Steward of The Hong Kong Jockey Club, actively involved in its governance and charitable initiatives.",https://www.hkjc.com/english/corporate/management.aspx,Nil
129,Francis Wan,Group Managing Director,Cold,None,Nil,https://www.linkedin.com/in/francis-wan-b93081182/
129,Amy Yuen,Company Secretary and General Manager - Corporate Affairs,Cold,None,Nil,https://www.linkedin.com/in/amy-yuen-207005174/
130,Vincent Mak Siu Ming,Executive Director & Chief Financial Officer,Cold,Nil,Nil,https://www.linkedin.com/in/vincent-mak-siu-ming-77a33a153/
130,Ma Xiang,Chairman & Executive Director,Cold,Nil,Nil,Nil
130,Guo Lijun,Executive Director & Chief Executive Officer,Cold,Nil,Nil,Nil
131,Gina Qiao,"SVP, Chief Strategy and Marketing Officer",Warm,No direct personal interaction found.,Nil,https://www.linkedin.com/in/gina-qiao-5a022b7
131,Albert So,"General Manager, Hong Kong & Macau",Warm,No direct personal interaction found.,Nil,https://hk.linkedin.com/in/albert-so-285b7367
131,Patrick Chan,"General Manager, Commercial Business, Hong Kong & Macau",Warm,No direct personal interaction found.,Nil,https://hk.linkedin.com/in/patrick-chan-6a014913
132,Daryl Ng Win Kong,"Deputy Chairman of Sino Land, Group General Manager of Sino Group",Hot,"Steward of The Hong Kong Jockey Club, actively involved in its governance and philanthropic activities.",https://www.hkjc.com/english/aboutus/directors_stewards.aspx,https://www.linkedin.com/in/daryl-ng-win-kong-7186a1112/
132,May Ng,"Executive Director, Sino Land",Warm,"Attended 'Walk with Dino' app launch event, supported by HKJC Charities Trust.",https://www.sinoland.com/en/news-and-media/2021/october/sino-group-partners-with-the-hong-kong-science-museum-and-cityu-to-launch-walk-with-dino-app,https://hk.linkedin.com/in/may-ng-a664421b4
132,Nikki Ng Mien-Hua,"Group General Manager, Sino Group",Warm,"Sino Group, where she is Group General Manager, partners with HKJC Charities Trust on various initiatives.",https://www.sinoland.com/en/sustainability/community-and-stakeholder-engagement/,https://www.linkedin.com/in/nikki-ng-81525a1b3/
133,Huang Xiaowen,"Chairman of the Board, Chief Executive Officer",Hot,"No specific public interaction for sponsorships found, but high-level networking is expected.",Nil,https://hk.linkedin.com/in/xiaowen-huang-082089163
133,Yang Jian,"Director, Chief Financial Officer",Warm,No specific public interaction for sponsorships found.,Nil,https://www.linkedin.com/in/jian-yang-80413038/
133,Liu Shizhong,"Director, Head of Corporate Planning",Warm,No specific public interaction for sponsorships found.,Nil,https://hk.linkedin.com/in/shizhong-liu-b40b8a101
134,George Hongchoy,Chief Executive Officer,Hot,Was a speaker at the HKJC's 'Leadership Dialogue Series' on business ethics in 2015.,https://corporate.hkjc.com/corporate/english/news-and-media/news-detail.aspx?in_file=2015091702484.xml,https://www.linkedin.com/in/george-hongchoy-92892910/
134,Vivian Cheung,Chief Marketing Officer,Warm,Nil,Nil,https://www.linkedin.com/in/vivian-cheung-1294628/
134,Joyce Au,Senior Director - Corporate Communications & External Affairs,Warm,Nil,Nil,https://www.linkedin.com/in/joyce-au-9a489112/
135,Jan Craps,"CEO & Co-Chairman, Budweiser APAC",Warm,Nil,Nil,https://www.linkedin.com/in/jan-craps-93b5861/
135,Bruno Cosentino,"Chief Marketing Officer, Budweiser APAC",Warm,Nil,Nil,https://www.linkedin.com/in/bruno-cosentino-11119b22/
135,Matt Che,"VP Marketing, Budweiser APAC",Warm,Nil,Nil,https://www.linkedin.com/in/mattche/
136,James Fang,Chairman and Chief Executive Officer,Cold,No public interaction found.,Nil,https://www.linkedin.com/in/james-fang-1b5853106/
136,Winson Li,Chief Financial Officer,Cold,No public interaction found.,Nil,https://www.linkedin.com/in/winson-li-4a3b832b/
137,HUANG Tao,Chairman & Executive Director,Cold,No,Nil,https://www.linkedin.com/in/tao-huang-963a4313b/
137,SHI Baofeng,President & Executive Director,Cold,No,Nil,https://www.linkedin.com/in/baofeng-shi-7a91a921b/
137,WANG Xiaoqing,Chief Financial Officer & Executive Director,Cold,No,Nil,https://www.linkedin.com/in/xiaoqing-wang-000867140/
138,Susanna Hui Hon Hing,Group Managing Director,Hot,"Leads HKT, a key strategic partner providing extensive telecommunications infrastructure and solutions to the HKJC for its operations.",https://www.hkt.com/About-HKT/News-and-Press-Releases/Press-Releases/20210217,https://hk.linkedin.com/in/susanna-hui-428414b5
138,Ringo Ng Kwok Keung,"Managing Director, Commercial Group",Warm,"Oversees commercial services for HKT, a key provider of enterprise solutions and ICT infrastructure to the HKJC.",https://www.hkt.com/About-HKT/News-and-Press-Releases/Press-Releases/20210217,https://hk.linkedin.com/in/ringo-ng-b8004b3a
138,Bruce Lam,"Managing Director, Consumer Mobile",Hot,"Oversees HKT's consumer brand and Now TV's HKJC horse racing broadcasts, a key partnership.",https://www.pccw.com/about-us/press-releases/20190529,https://hk.linkedin.com/in/bruce-lam-b852934
139,Yang Shaopeng,Chairman and Executive Director,Cold,Nil,Nil,https://www.linkedin.com/in/%E7%BB%8D%E9%B9%8F-%E6%9D%A8-a612542a9/
139,Yang Xianxiang,"Vice Chairman and Executive Director, CEO",Cold,Nil,Nil,https://www.linkedin.com/in/%E7%8E%B0%E7%A5%A5-%E6%9D%A8-8a86a636/
139,Xue Peng,"Executive Director, General Manager of Container Liner Segment",Cold,Nil,Nil,https://www.linkedin.com/in/xue-peng-a3845b103/
140,Stephen Ng Tin Hoi,Chairman & Managing Director,Hot,Served as a Steward of The Hong Kong Jockey Club.,https://web.archive.org/web/20181014193540/http://racing.hkjc.com/racing/information/English/JockeyClub/BoardofStewards.aspx,https://www.linkedin.com/in/stephen-ng-tin-hoi-b87342129/
140,Doreen Lee,Executive Director,Warm,Has a long-standing relationship with the Club; attended its 130th Anniversary dinner.,https://www.tatlerasia.com/power-purpose/philanthropy/the-hong-kong-jockey-club-charities-trust-celebrates-130th-anniversary,https://www.linkedin.com/in/doreen-lee-d7178816a/
140,Raymond Chow,Executive Director,Warm,Attended the opening ceremony of the new HKJC Racing Club at Happy Valley.,https://racingnews.hkjc.com/racingnews/2021/04/004732_e.htm,https://www.linkedin.com/in/raymond-chow-74a62132/
141,Hou Xiaohai,"Chairman, Executive Director and Chief Executive Officer",Warm,No specific public interaction with HKJC for sponsorship found. Engages in high-level corporate interactions within Hong Kong's business community.,Nil,https://www.linkedin.com/in/%E5%AD%9D%E6%B5%B7-%E4%BE%AF-879815152/
141,Zhao Chunwu,Executive Director and Chief Financial Officer,Warm,No specific public interaction with HKJC for sponsorship found. Involved in high-level corporate governance and investor relations in Hong Kong.,Nil,https://www.linkedin.com/in/%E6%98%A5%E6%AD%A6-%E8%B5%B5-4b172a125/
141,"Lai Po Sing, Vincent",Independent Non-executive Director,Warm,"No specific public interaction with HKJC for sponsorship found. Possesses an extensive professional network in Hong Kong, including senior business and public service figures.",Nil,https://www.linkedin.com/in/vincent-lai-po-sing-a0689360/
142,Wan Lin,CEO & Executive Director,Cold,Nil,Nil,Nil
142,Zhu Dan,"Executive Director, Co-President",Cold,Nil,Nil,Nil
142,Wang Jianyu,Chief Operating Officer,Cold,Nil,Nil,Nil
143,Zheng Guoan,"Chairman, China Taiping Insurance (HK) Co., Ltd.",Cold,Nil,Nil,Nil
143,"Yeung Siu Fai, David","Executive Director, China Taiping Insurance (HK) Co., Ltd.",Cold,Nil,Nil,https://www.linkedin.com/in/david-yeung-6b7b13192/
143,Chen Zhongyi,"Executive Director, China Taiping Insurance (HK) Co., Ltd.",Cold,Nil,Nil,Nil
144,Stephen Ng Tin Hoi,Chairman & Managing Director,Hot,Former Steward of the HKJC (2002-2016) and a prominent horse owner with multiple successful horses.,https://www.asianracing.org/index.php/news/1739-arf-general-assembly-opens-in-hong-kong,https://hk.linkedin.com/in/stephen-ng-tin-hoi-1209b52a
144,Douglas Woo Chun Ku,"Executive Director, The Wharf (Holdings) Limited; Chairman & Managing Director, Wharf REIC",Hot,"Prominent horse owner, co-owned ""Beauty Generation"", a champion racehorse in Hong Kong.",https://racing.hkjc.com/racing/information/english/News/2019/News.aspx?In_file=20190428_0305.xml,https://hk.linkedin.com/in/douglas-woo-b9242918b
144,Eliza Liu,"Group Director, Corporate Communications and Investor Relations",Warm,Nil,Nil,https://hk.linkedin.com/in/eliza-liu-5573489
145,Andy Fung Yuen Ming,"Executive Director, CEO",Hot,"CEO of Everbright Sun Hung Kai, title sponsor of multiple HKJC horse racing events, including the Chinese New Year Cup.",https://www.prnewswire.com/news-releases/everbright-sun-hung-kai-hosts-chinese-new-year-cup-2018-in-hong-kong-300599525.html,https://www.linkedin.com/in/andy-fung-yuen-ming-75574519/
145,Dr. Michael Chan,Advisor,Hot,Advisor to Everbright Sun Hung Kai; attended their sponsored Chinese New Year Cup 2018 event at HKJC.,https://www.prnewswire.com/news-releases/everbright-sun-hung-kai-hosts-chinese-new-year-cup-2018-in-hong-kong-300599525.html,https://www.linkedin.com/in/michael-chan-10250a11/
145,Peter Ng,Head of Retail Broking,Hot,Head of Retail Broking for Everbright Sun Hung Kai; attended their sponsored Chinese New Year Cup 2018 event at HKJC.,https://www.prnewswire.com/news-releases/everbright-sun-hung-kai-hosts-chinese-new-year-cup-2018-in-hong-kong-300599525.html,https://www.linkedin.com/in/peter-ng-42845610/
146,Fu Bin,Chairman,Cold,Nil,Nil,Nil
146,Qian Zhijia,President,Cold,Nil,Nil,Nil
146,Zhou Ming,Executive Director and Vice President,Cold,Nil,Nil,Nil
147,JIN Yulong,"Chairman, Executive Director",Cold,No.,Nil,Nil
147,LIU Keqiang,"Executive Director, General Manager",Cold,No.,Nil,Nil
147,ZHANG Jian,"Executive Director, Secretary of the Board",Cold,No.,Nil,Nil
148,Wang Jianping,Executive Director and Chief Executive Officer,Warm,Nil,Nil,https://www.linkedin.com/in/jianping-wang-34086616
148,Deng Renjie,Chairman of the Board,Warm,Nil,Nil,https://www.linkedin.com/in/renjie-deng-51b64a66
